Incident_ID,Report_Time,Phone_Number,Tags,Report_Count,Transaction_Amount,Victim_Demographic,Is_Fraud
UID-afdff045,2026-03-13 08:09:00,+886-902-136-124,"假扣押財產,面交黃金白銀",3,2670158,50-69 中高齡,1
UID-9b8bc94f,2026-03-12 23:35:00,+886-903-883-020,"假投資,資金盤",14,1381780,上班族,1
UID-956470db,2026-03-12 16:29:00,+886-905-678-152,"債務不履行,退款延遲",1,15000,70+ 長者,0
UID-9c998d6d,2026-03-13 02:55:00,+886-905-226-699,"一般客訴,服務態度",1,500,碩博士,0
UID-2d7db959,2026-03-13 05:32:00,+886-901-120-044,"網路購物詐騙,解除分期付款",281,35183,高中職以下,1
UID-c423ca04,2026-03-13 08:52:00,+886-901-526-040,"幽靈包裹,超商取貨",1308,44181,大專院校,1
UID-52806742,2026-03-12 19:35:00,+886-905-814-583,"一般客訴,服務態度",1,3000,學生,0
UID-00c57446,2026-03-12 22:29:00,+886-903-884-066,"假投資,虛擬貨幣,高報酬",18,1945091,50-69 中高齡,1
UID-18fdea21,2026-03-13 04:14:00,+886-905-612-835,"正常投資諮詢,理財規劃",1,0,70+ 長者,0
UID-a465e2b5,2026-03-12 18:18:00,+886-905-993-344,"一般客訴,服務態度",2,3000,高中職以下,0
UID-06647f0c,2026-03-12 12:37:00,+886-902-200-975,"假冒郵局,普發現金冒領",3,3751129,50-69 中高齡,1
UID-e9e67c2d,2026-03-13 02:28:00,+886-904-498-096,"網路交友,要求儲值,點數卡",18,3095,學生,1
UID-25cc4310,2026-03-13 06:50:00,+886-905-894-129,"正常投資諮詢,理財規劃",1,0,70+ 長者,0
UID-95e88838,2026-03-12 20:46:00,+886-903-880-052,"假投資,內線交易,VIP通道",13,3183142,大專院校,1
UID-4f752a40,2026-03-13 00:48:00,+886-903-884-041,"假投資,內線交易,VIP通道",6,1019384,上班族,1
UID-7aa9ddd9,2026-03-13 00:06:00,+886-903-883-026,"假投資,保證獲利",8,2721828,碩博士,1
UID-6c54ff58,2026-03-12 11:19:00,+886-901-788-033,"網路購物詐騙,ATM操作",232,6324,學生,1
UID-1c4fc650,2026-03-12 16:52:00,+886-905-493-110,"一般客訴,服務態度",1,0,學生,0
UID-cb44aa44,2026-03-12 15:52:00,+886-903-882-068,"假投資,內線交易,VIP通道",14,2433563,碩博士,1
UID-888aa508,2026-03-12 22:11:00,+886-905-304-123,"債務不履行,退款延遲",1,0,上班族,0
UID-f07df4aa,2026-03-12 20:36:00,+886-904-688-079,"殺豬盤,平台無法出金",20,139047,大專院校,1
UID-ffd5660d,2026-03-12 21:44:00,+886-902-168-652,"假員警,偵查不公開",1,1172357,碩博士,1
UID-c37573c4,2026-03-13 05:16:00,+886-902-123-367,"假冒郵局,普發現金冒領",1,556152,碩博士,1
UID-7551ef82,2026-03-12 16:26:00,+886-901-436-046,"幽靈包裹,超商取貨",163,3034,上班族,1
UID-dc845613,2026-03-13 03:42:00,+886-903-885-085,"假投資,資金盤",5,1815798,大專院校,1
UID-417719b3,2026-03-12 23:41:00,+886-903-883-088,"假投資,保證獲利",18,3216891,碩博士,1
UID-b4f9ff6c,2026-03-12 21:17:00,+886-902-183-173,"假扣押財產,面交黃金白銀",3,668683,70+ 長者,1
UID-d32b510f,2026-03-12 11:41:00,+886-905-860-516,"債務不履行,退款延遲",2,15000,50-69 中高齡,0
UID-7c147eea,2026-03-12 11:38:00,+886-902-191-937,"假冒郵局,普發現金冒領",3,4133381,70+ 長者,1
UID-6c3f1209,2026-03-12 15:10:00,+886-901-658-037,"幽靈包裹,超商取貨",157,3700,大專院校,1
UID-13cd63b0,2026-03-12 13:16:00,+886-903-886-039,"假投資,資金盤",5,3356613,碩博士,1
UID-6a6ba9e6,2026-03-13 00:28:00,+886-902-127-873,"假扣押財產,面交黃金白銀",2,2610383,50-69 中高齡,1
UID-55956914,2026-03-12 17:05:00,+886-904-729-026,"網路交友,要求儲值,點數卡",14,135433,上班族,1
UID-95537857,2026-03-12 10:57:00,+886-905-822-658,"一般客訴,服務態度",2,500,學生,0
UID-7711d0f8,2026-03-12 19:11:00,+886-902-189-837,"假冒郵局,普發現金冒領",1,7851788,碩博士,1
UID-c396a7ed,2026-03-12 11:41:00,+886-903-887-092,"假投資,虛擬貨幣,高報酬",15,4862922,上班族,1
UID-f363e0e0,2026-03-12 19:25:00,+886-905-901-311,"一般客訴,服務態度",2,3000,大專院校,0
UID-15542698,2026-03-13 04:24:00,+886-903-882-081,"假投資,保證獲利",14,1198814,碩博士,1
UID-e298b08c,2026-03-13 08:26:00,+886-905-299-124,"司法文書送達,正常公務",2,0,碩博士,0
UID-5a7c6b58,2026-03-12 18:05:00,+886-901-404-038,"網路購物詐騙,假賣場",174,35848,大專院校,1
UID-4e68e081,2026-03-13 03:54:00,+886-901-655-017,"網路購物詐騙,解除分期付款",480,4736,上班族,1
UID-8b30345f,2026-03-13 06:55:00,+886-905-277-701,"債務不履行,退款延遲",1,3000,50-69 中高齡,0
UID-46e1e5f3,2026-03-12 23:55:00,+886-901-840-002,"網路購物詐騙,假賣場",755,13070,大專院校,1
UID-92f5e05f,2026-03-13 05:16:00,+886-901-517-047,"幽靈包裹,超商取貨",154,32472,上班族,1
UID-9764d390,2026-03-13 08:14:00,+886-903-886-067,"假投資,保證獲利",19,1896964,碩博士,1
UID-2d8beab3,2026-03-12 09:02:00,+886-903-881-017,"假投資,資金盤",8,3610875,碩博士,1
UID-840f508e,2026-03-12 20:42:00,+886-901-447-016,"網路購物詐騙,解除分期付款",179,41900,上班族,1
UID-416d7c74,2026-03-12 13:05:00,+886-905-728-744,"正常投資諮詢,理財規劃",2,500,高中職以下,0
UID-fc8d10cb,2026-03-13 08:53:00,+886-903-885-033,"假投資,資金盤",5,102663,大專院校,1
UID-30f62fce,2026-03-12 10:51:00,+886-902-130-472,"假員警,偵查不公開",3,7121069,50-69 中高齡,1
UID-956680c2,2026-03-13 05:58:00,+886-902-124-527,"假扣押財產,面交黃金白銀",1,4752978,70+ 長者,1
UID-18662469,2026-03-12 14:19:00,+886-904-710-051,"Threads廣告,假兼職",15,128549,學生,1
UID-de7f20fe,2026-03-12 20:53:00,+886-901-565-019,"幽靈包裹,超商取貨",204,34055,大專院校,1
UID-16c75c44,2026-03-13 01:43:00,+886-905-863-322,"正常投資諮詢,理財規劃",1,3000,學生,0
UID-db55a7d8,2026-03-13 06:45:00,+886-904-903-007,"網路交友,要求儲值,點數卡",25,56780,學生,1
UID-179c02e3,2026-03-13 05:33:00,+886-903-881-075,"假投資,資金盤",5,4234261,碩博士,1
UID-1c021183,2026-03-12 14:48:00,+886-903-881-044,"假投資,保證獲利",12,2795563,碩博士,1
UID-179cc6c7,2026-03-13 01:47:00,+886-901-301-032,"網路購物詐騙,假賣場",165,19675,大專院校,1
UID-25a9831a,2026-03-12 20:20:00,+886-904-898-005,"網路交友,要求儲值,點數卡",3,114102,上班族,1
UID-fc2fcfae,2026-03-13 08:20:00,+886-903-883-064,"假投資,虛擬貨幣,高報酬",16,2444527,碩博士,1
UID-c018f334,2026-03-12 10:01:00,+886-902-147-214,"假檢警,監管帳戶",3,2485140,70+ 長者,1
UID-fd273ec7,2026-03-12 10:37:00,+886-905-298-857,"債務不履行,退款延遲",1,0,碩博士,0
UID-2b9108cd,2026-03-12 14:31:00,+886-901-550-004,"網路購物詐騙,ATM操作",163,19003,大專院校,1
UID-81740395,2026-03-12 19:25:00,+886-905-927-262,"交易糾紛,商品瑕疵",1,500,70+ 長者,0
UID-b194e970,2026-03-13 02:37:00,+886-905-721-300,"交易糾紛,商品瑕疵",1,3000,高中職以下,0
UID-946bae68,2026-03-12 10:17:00,+886-905-525-416,"交易糾紛,商品瑕疵",2,0,碩博士,0
UID-d6a8491d,2026-03-13 06:45:00,+886-901-117-003,"網路購物詐騙,解除分期付款",166,30248,大專院校,1
UID-e09452f2,2026-03-13 00:48:00,+886-903-881-031,"假投資,內線交易,VIP通道",10,3552223,碩博士,1
UID-8e9a502a,2026-03-13 00:08:00,+886-904-682-066,"網路交友,AI濾鏡假冒",17,130971,碩博士,1
UID-8f67c2e1,2026-03-13 04:36:00,+886-903-880-062,"假投資,內線交易,VIP通道",8,1186748,上班族,1
UID-789aebde,2026-03-12 16:14:00,+886-903-883-058,"假投資,虛擬貨幣,高報酬",9,988390,50-69 中高齡,1
UID-f206f0ff,2026-03-13 05:18:00,+886-902-143-850,"假檢警,監管帳戶",3,3006413,50-69 中高齡,1
UID-4c23b8b3,2026-03-12 19:17:00,+886-903-883-084,"假投資,內線交易,VIP通道",11,2244765,碩博士,1
UID-6fe21504,2026-03-13 06:15:00,+886-902-140-244,"假檢警,監管帳戶",1,6738643,50-69 中高齡,1
UID-74f71c8f,2026-03-12 12:36:00,+886-903-887-037,"假投資,內線交易,VIP通道",6,2330349,上班族,1
UID-9fd607c4,2026-03-13 02:01:00,+886-902-199-880,"假員警,偵查不公開",3,3519589,70+ 長者,1
UID-b5360619,2026-03-12 10:39:00,+886-905-774-863,"正常投資諮詢,理財規劃",1,0,上班族,0
UID-257ce78e,2026-03-12 09:10:00,+886-999-999-999,"機器人測試,惡意灌水",11538,0,未知,0
UID-79f5fcd9,2026-03-13 01:31:00,+886-901-764-024,"網路購物詐騙,假賣場",280,13415,學生,1
UID-b6ecfbc1,2026-03-12 12:50:00,+886-901-584-013,"網路購物詐騙,假賣場",152,29703,大專院校,1
UID-46e27de4,2026-03-12 15:54:00,+886-903-885-025,"假投資,虛擬貨幣,高報酬",15,1425156,碩博士,1
UID-434b345e,2026-03-12 10:38:00,+886-904-755-049,"網路交友,AI濾鏡假冒",24,47260,碩博士,1
UID-26dc7ff1,2026-03-13 00:32:00,+886-904-985-098,"Threads廣告,假兼職",9,49479,碩博士,1
UID-739dfec0,2026-03-13 08:42:00,+886-905-427-522,"一般客訴,服務態度",1,500,高中職以下,0
UID-6bb02667,2026-03-13 06:43:00,+886-902-198-634,"假檢警,監管帳戶",3,7126769,70+ 長者,1
UID-33345985,2026-03-12 20:34:00,+886-905-828-343,"司法文書送達,正常公務",1,500,大專院校,0
UID-5a754208,2026-03-12 13:04:00,+886-902-107-334,"假扣押財產,面交黃金白銀",1,2949986,50-69 中高齡,1
UID-27d2024b,2026-03-12 23:30:00,+886-903-888-002,"假投資,資金盤",6,3895218,上班族,1
UID-8a3221b7,2026-03-13 02:38:00,+886-903-884-023,"假投資,資金盤",15,4240910,上班族,1
UID-b11c9b5f,2026-03-12 16:45:00,+886-905-917-595,"交易糾紛,商品瑕疵",1,500,70+ 長者,0
UID-96d8fd1f,2026-03-13 06:51:00,+886-903-882-026,"假投資,保證獲利",17,171665,碩博士,1
UID-c3464646,2026-03-12 15:55:00,+886-903-886-069,"假投資,資金盤",17,3669917,碩博士,1
UID-6838646d,2026-03-12 18:07:00,+886-903-884-034,"假投資,內線交易,VIP通道",14,2326417,50-69 中高齡,1
UID-ac932fa4,2026-03-13 07:17:00,+886-905-391-560,"司法文書送達,正常公務",1,500,高中職以下,0
UID-12efcd53,2026-03-12 18:18:00,+886-904-143-037,"殺豬盤,平台無法出金",8,6642,大專院校,1
UID-fe5fe85c,2026-03-13 00:40:00,+886-905-202-439,"交易糾紛,商品瑕疵",1,0,學生,0
UID-ad83a808,2026-03-12 11:29:00,+886-903-881-002,"假投資,資金盤",20,3787317,碩博士,1
UID-64d74812,2026-03-12 13:15:00,+886-903-883-027,"假投資,保證獲利",16,1696107,碩博士,1
UID-7030fc32,2026-03-12 13:45:00,+886-904-563-042,"網路交友,要求儲值,點數卡",14,97730,碩博士,1
UID-56a816f6,2026-03-12 22:58:00,+886-901-692-016,"網路購物詐騙,假賣場",502,3217,上班族,1
UID-454fe9b7,2026-03-12 15:16:00,+886-905-365-828,"司法文書送達,正常公務",1,0,碩博士,0
UID-74f1847f,2026-03-12 19:44:00,+886-902-159-302,"假檢警,監管帳戶",1,1887325,50-69 中高齡,1
UID-f518eaa4,2026-03-13 01:33:00,+886-905-951-890,"司法文書送達,正常公務",1,500,大專院校,0
UID-db204add,2026-03-13 05:24:00,+886-901-647-018,"網路購物詐騙,ATM操作",167,40843,學生,1
UID-c925c436,2026-03-12 23:46:00,+886-903-886-009,"假投資,保證獲利",8,3854654,上班族,1
UID-879eaf63,2026-03-12 14:30:00,+886-905-210-413,"債務不履行,退款延遲",1,0,碩博士,0
UID-0636421a,2026-03-12 15:38:00,+886-905-744-740,"正常投資諮詢,理財規劃",1,0,高中職以下,0
UID-32b37b37,2026-03-12 11:11:00,+886-905-553-904,"債務不履行,退款延遲",1,15000,碩博士,0
UID-dab498f9,2026-03-12 16:10:00,+886-901-789-002,"網路購物詐騙,ATM操作",213,42803,上班族,1
UID-d939c724,2026-03-12 15:05:00,+886-904-787-096,"Threads廣告,假兼職",8,50044,學生,1
UID-a1f9d223,2026-03-13 06:15:00,+886-902-106-135,"假檢警,監管帳戶",1,2637115,碩博士,1
UID-c49f86c6,2026-03-12 14:44:00,+886-902-153-454,"假檢警,監管帳戶",2,4391981,碩博士,1
UID-6f7c9a7a,2026-03-12 13:23:00,+886-902-153-117,"假員警,偵查不公開",2,5439875,70+ 長者,1
UID-269ea606,2026-03-13 03:03:00,+886-905-828-469,"司法文書送達,正常公務",1,3000,50-69 中高齡,0
UID-c367d954,2026-03-12 15:47:00,+886-901-579-002,"幽靈包裹,超商取貨",174,9323,學生,1
UID-ed08f943,2026-03-12 23:47:00,+886-905-281-552,"司法文書送達,正常公務",2,0,碩博士,0
UID-8a16c7fa,2026-03-13 00:42:00,+886-905-713-244,"一般客訴,服務態度",1,15000,碩博士,0
UID-76c2a657,2026-03-12 22:17:00,+886-903-881-073,"假投資,資金盤",16,1279919,大專院校,1
UID-6f208333,2026-03-12 15:21:00,+886-904-285-087,"殺豬盤,平台無法出金",16,108007,學生,1
UID-4d4038eb,2026-03-12 23:54:00,+886-905-533-573,"正常投資諮詢,理財規劃",1,3000,70+ 長者,0
UID-136e2943,2026-03-13 06:38:00,+886-905-597-322,"正常投資諮詢,理財規劃",2,500,高中職以下,0
UID-a41c07f2,2026-03-12 19:40:00,+886-905-683-989,"一般客訴,服務態度",1,15000,70+ 長者,0
UID-bc7ab124,2026-03-13 00:02:00,+886-903-885-048,"假投資,資金盤",8,1621336,50-69 中高齡,1
UID-eed8e8bf,2026-03-13 02:55:00,+886-905-861-319,"債務不履行,退款延遲",2,15000,大專院校,0
UID-ec7a8605,2026-03-12 11:10:00,+886-905-631-666,"債務不履行,退款延遲",1,500,高中職以下,0
UID-05185d4b,2026-03-12 15:04:00,+886-902-128-733,"假冒郵局,普發現金冒領",1,1672356,70+ 長者,1
UID-fb4c5962,2026-03-12 13:01:00,+886-903-888-076,"假投資,內線交易,VIP通道",10,4751035,碩博士,1
UID-b681f72a,2026-03-12 15:54:00,+886-903-885-072,"假投資,內線交易,VIP通道",19,2032353,上班族,1
UID-e0088f24,2026-03-13 00:03:00,+886-901-545-006,"網路購物詐騙,假賣場",441,12357,高中職以下,1
UID-ce1bef22,2026-03-13 02:01:00,+886-903-886-028,"假投資,資金盤",5,907661,上班族,1
UID-759a0150,2026-03-12 15:10:00,+886-902-163-767,"假檢警,監管帳戶",1,3394079,70+ 長者,1
UID-583d0e0b,2026-03-12 22:56:00,+886-902-178-999,"假扣押財產,面交黃金白銀",2,1370359,50-69 中高齡,1
UID-e36c2d37,2026-03-12 17:25:00,+886-903-884-056,"假投資,資金盤",18,4270417,碩博士,1
UID-773abbe7,2026-03-12 21:53:00,+886-904-942-019,"網路交友,AI濾鏡假冒",15,41670,上班族,1
UID-ab1b85f5,2026-03-13 06:01:00,+886-905-902-397,"交易糾紛,商品瑕疵",1,3000,50-69 中高齡,0
UID-2d7d413e,2026-03-13 04:30:00,+886-904-727-093,"網路交友,AI濾鏡假冒",13,1729,學生,1
UID-2dee1dec,2026-03-12 16:56:00,+886-905-284-315,"正常投資諮詢,理財規劃",2,15000,70+ 長者,0
UID-7b06a4a6,2026-03-12 15:41:00,+886-905-947-489,"交易糾紛,商品瑕疵",1,15000,碩博士,0
UID-6bd5d290,2026-03-12 15:31:00,+886-902-174-181,"假員警,偵查不公開",3,5661475,碩博士,1
UID-bbdc841b,2026-03-13 02:34:00,+886-904-221-088,"網路交友,AI濾鏡假冒",19,32264,大專院校,1
UID-4efcf90e,2026-03-13 05:16:00,+886-905-409-210,"債務不履行,退款延遲",2,3000,大專院校,0
UID-8e440cc6,2026-03-12 12:10:00,+886-905-488-151,"正常投資諮詢,理財規劃",1,0,上班族,0
UID-81c144a9,2026-03-12 16:57:00,+886-901-870-049,"網路購物詐騙,解除分期付款",198,17791,大專院校,1
UID-6f5bfad0,2026-03-13 04:04:00,+886-903-881-042,"假投資,資金盤",6,3080283,50-69 中高齡,1
UID-e30512a6,2026-03-12 11:58:00,+886-905-864-697,"司法文書送達,正常公務",1,3000,大專院校,0
UID-895f6245,2026-03-13 08:14:00,+886-904-551-095,"殺豬盤,平台無法出金",19,7687,大專院校,1
UID-74b7f57a,2026-03-12 21:03:00,+886-904-972-076,"殺豬盤,平台無法出金",2,75178,大專院校,1
UID-d9e04966,2026-03-12 11:38:00,+886-903-885-030,"假投資,虛擬貨幣,高報酬",20,1664901,50-69 中高齡,1
UID-37e0d87c,2026-03-13 00:18:00,+886-902-114-382,"假員警,偵查不公開",1,5886590,50-69 中高齡,1
UID-d741206f,2026-03-13 06:59:00,+886-902-117-726,"假冒郵局,普發現金冒領",1,1776695,70+ 長者,1
UID-e7682c8b,2026-03-12 09:28:00,+886-905-138-186,"司法文書送達,正常公務",1,15000,大專院校,0
UID-6ff94607,2026-03-12 09:52:00,+886-905-127-839,"正常投資諮詢,理財規劃",2,3000,碩博士,0
UID-debccbec,2026-03-12 15:48:00,+886-904-364-088,"Threads廣告,假兼職",27,123817,碩博士,1
UID-3e433085,2026-03-12 09:19:00,+886-905-569-357,"交易糾紛,商品瑕疵",2,15000,碩博士,0
UID-76229e70,2026-03-12 16:46:00,+886-904-223-095,"網路交友,要求儲值,點數卡",2,26833,碩博士,1
UID-fc0908cf,2026-03-13 02:13:00,+886-903-889-009,"假投資,保證獲利",15,4191551,上班族,1
UID-abf5be48,2026-03-12 11:15:00,+886-903-882-003,"假投資,資金盤",5,2748016,上班族,1
UID-1418a1e4,2026-03-13 01:22:00,+886-905-590-750,"債務不履行,退款延遲",2,0,上班族,0
UID-7c10943e,2026-03-12 19:18:00,+886-902-132-429,"假冒郵局,普發現金冒領",3,3015618,70+ 長者,1
UID-076af7f6,2026-03-12 20:25:00,+886-901-319-004,"網路購物詐騙,假賣場",193,16567,上班族,1
UID-be75d43d,2026-03-13 02:19:00,+886-903-884-099,"假投資,資金盤",17,4014004,碩博士,1
UID-c6da54b4,2026-03-12 11:36:00,+886-904-799-074,"殺豬盤,平台無法出金",5,67201,上班族,1
UID-c0463f42,2026-03-13 01:05:00,+886-903-885-085,"假投資,資金盤",20,1708665,50-69 中高齡,1
UID-2552f98c,2026-03-12 23:44:00,+886-905-200-661,"交易糾紛,商品瑕疵",2,0,學生,0
UID-c4d9ba3e,2026-03-12 21:12:00,+886-904-467-012,"網路交友,AI濾鏡假冒",4,89731,大專院校,1
UID-d15a6c44,2026-03-13 08:53:00,+886-901-690-003,"網路購物詐騙,ATM操作",174,9773,上班族,1
UID-52a911ad,2026-03-12 09:12:00,+886-903-881-095,"假投資,虛擬貨幣,高報酬",10,3047525,碩博士,1
UID-4c430426,2026-03-13 03:46:00,+886-902-110-924,"假檢警,監管帳戶",1,1732437,70+ 長者,1
UID-b080cbcb,2026-03-13 03:44:00,+886-904-724-011,"殺豬盤,平台無法出金",8,7833,學生,1
UID-774395a2,2026-03-12 17:24:00,+886-905-143-402,"司法文書送達,正常公務",2,500,50-69 中高齡,0
UID-a46422a0,2026-03-12 18:05:00,+886-903-888-057,"假投資,保證獲利",17,3862324,碩博士,1
UID-58482576,2026-03-13 08:51:00,+886-905-672-151,"交易糾紛,商品瑕疵",1,500,50-69 中高齡,0
UID-777784e4,2026-03-12 12:56:00,+886-901-153-011,"幽靈包裹,超商取貨",412,42308,高中職以下,1
UID-4814e91e,2026-03-12 15:56:00,+886-903-889-020,"假投資,資金盤",11,3678147,碩博士,1
UID-78d6363d,2026-03-13 06:36:00,+886-902-195-942,"假冒郵局,普發現金冒領",2,3615054,70+ 長者,1
UID-abbe8db8,2026-03-13 01:22:00,+886-905-182-485,"司法文書送達,正常公務",1,0,上班族,0
UID-854ce836,2026-03-12 22:18:00,+886-901-931-034,"網路購物詐騙,假賣場",168,33060,大專院校,1
UID-bfb82c7a,2026-03-12 11:44:00,+886-905-939-644,"債務不履行,退款延遲",1,500,學生,0
UID-f13b6a9d,2026-03-12 23:27:00,+886-905-627-105,"一般客訴,服務態度",2,15000,學生,0
UID-41e4b3ff,2026-03-13 00:26:00,+886-905-240-119,"債務不履行,退款延遲",1,3000,大專院校,0
UID-c26e9623,2026-03-13 05:17:00,+886-904-658-032,"殺豬盤,平台無法出金",11,90182,上班族,1
UID-a46e5da9,2026-03-12 22:10:00,+886-904-407-044,"Threads廣告,假兼職",13,134206,上班族,1
UID-c23af1e8,2026-03-12 12:43:00,+886-901-430-021,"網路購物詐騙,解除分期付款",181,18810,上班族,1
UID-aea60e5c,2026-03-12 21:09:00,+886-903-884-073,"假投資,資金盤",11,4008859,50-69 中高齡,1
UID-d1616b50,2026-03-12 11:40:00,+886-904-528-028,"網路交友,AI濾鏡假冒",13,146153,上班族,1
UID-17531312,2026-03-13 02:34:00,+886-904-352-061,"網路交友,AI濾鏡假冒",13,41909,大專院校,1
UID-0ba85d18,2026-03-13 06:20:00,+886-903-886-091,"假投資,資金盤",19,1569573,碩博士,1
UID-034a4458,2026-03-12 11:57:00,+886-904-433-070,"網路交友,要求儲值,點數卡",18,38890,上班族,1
UID-9f4800f6,2026-03-12 10:43:00,+886-903-880-035,"假投資,內線交易,VIP通道",8,2076171,50-69 中高齡,1
UID-5d5532b2,2026-03-13 06:08:00,+886-901-681-006,"網路購物詐騙,解除分期付款",181,30605,高中職以下,1
UID-3a2d6235,2026-03-13 03:09:00,+886-903-881-013,"假投資,內線交易,VIP通道",7,826212,50-69 中高齡,1
UID-ed40bee5,2026-03-12 22:20:00,+886-903-883-052,"假投資,資金盤",12,2200470,上班族,1
UID-71a4b68c,2026-03-13 00:41:00,+886-905-527-865,"債務不履行,退款延遲",2,3000,高中職以下,0
UID-22a7973d,2026-03-13 01:04:00,+886-904-481-082,"Threads廣告,假兼職",30,34258,上班族,1
UID-7769269c,2026-03-13 00:25:00,+886-903-880-049,"假投資,保證獲利",6,4455155,大專院校,1
UID-5ad1de91,2026-03-12 16:01:00,+886-905-126-336,"正常投資諮詢,理財規劃",2,15000,50-69 中高齡,0
UID-e619f88c,2026-03-13 02:11:00,+886-903-884-064,"假投資,資金盤",15,1595370,上班族,1
UID-cbad21e5,2026-03-12 16:02:00,+886-905-735-822,"交易糾紛,商品瑕疵",1,3000,大專院校,0
UID-04b1e47a,2026-03-13 04:43:00,+886-902-123-124,"假員警,偵查不公開",2,3587794,70+ 長者,1
UID-faed71b8,2026-03-12 16:39:00,+886-903-889-026,"假投資,虛擬貨幣,高報酬",6,4377198,上班族,1
UID-ae201df5,2026-03-12 14:35:00,+886-901-161-034,"幽靈包裹,超商取貨",219,3126,上班族,1
UID-0889d471,2026-03-12 23:25:00,+886-905-844-334,"債務不履行,退款延遲",2,15000,70+ 長者,0
UID-60853d8b,2026-03-12 20:00:00,+886-905-298-450,"司法文書送達,正常公務",2,0,學生,0
UID-e153e202,2026-03-13 04:44:00,+886-904-740-024,"網路交友,AI濾鏡假冒",2,6541,上班族,1
